date,open,close,high,low,volume
2024-01-05,3627.150,3592.33,3662.200,3572.280,20649734003.000
2024-01-08,3589.350,3484.75,3589.350,3467.220,20278616900.000
2024-01-09,3496.620,3454.5,3539.580,3451.770,20777696816.000
2024-01-10,3444.340,3428.2,3476.860,3407.080,20633703970.000
2024-01-11,3434.420,3503.02,3540.570,3428.990,22246904408.000
2024-01-12,3476.860,3470.64,3530.240,3454.610,16021561826.000
2024-01-15,3459.510,3404.0,3459.510,3380.590,19236469030.000
2024-01-16,3369.600,3325.93,3413.370,3310.170,22700097282.000
2024-01-17,3294.310,3160.0,3294.310,3130.220,36157021155.000
2024-01-18,3167.400,3176.08,3201.150,3123.270,26407372420.000
2024-01-19,3171.010,3129.92,3209.880,3101.610,24634874044.000
2024-01-22,3144.870,3035.47,3156.190,2994.070,30593409864.000
2024-01-23,3062.220,3147.81,3192.830,3047.040,32954512074.000
2024-01-24,3235.100,3281.16,3303.720,3150.100,35963833437.000
2024-01-25,3282.020,3310.69,3324.360,3220.020,31265108194.000
2024-01-26,3284.660,3186.49,3284.660,3175.160,26540889777.000
2024-01-29,3212.250,3203.59,3256.080,3179.870,21193637648.000
2024-01-30,3150.240,3098.87,3160.300,3086.480,21090972566.000
2024-01-31,3090.450,3005.8,3106.500,2984.900,22800061337.000
2024-02-01,3029.810,3065.95,3128.400,3011.060,20601070811.000
2024-02-02,3137.010,3043.9,3165.800,3015.980,23016143457.000
2024-02-05,2990.290,3038.84,3095.430,2987.680,20140748802.000
2024-02-06,3050.530,3243.81,3253.990,3050.530,34158461882.000
2024-02-07,3269.130,3190.68,3320.860,3172.020,30005169067.000
2024-02-08,3179.110,3168.55,3223.170,3148.380,23650656532.000
2024-02-09,3125.370,3127.22,3130.470,3072.760,8069714058.000
2024-02-14,3074.870,3197.87,3205.660,3052.620,13575843505.000
2024-02-15,3184.070,3223.1,3239.700,3156.140,11727638101.000
2024-02-16,3231.280,3342.73,3357.500,3205.510,18541353644.000
2024-02-19,3320.130,3253.09,3320.130,3236.950,19102927037.000
2024-02-20,3275.640,3264.4,3283.200,3201.990,16945457121.000
2024-02-21,3240.260,3351.22,3421.130,3221.560,27823263535.000
2024-02-22,3346.690,3410.02,3410.020,3315.680,20680680175.000
2024-02-23,3386.220,3399.84,3444.280,3363.060,21246775666.000
2024-02-26,3381.350,3393.29,3425.810,3374.360,16185400227.000
2024-02-27,3428.890,3503.17,3510.570,3366.260,28918573062.000
2024-02-28,3527.830,3426.61,3547.160,3420.990,29023219592.000
2024-02-29,3390.880,3431.3,3468.730,3390.880,34640211380.000
2024-03-01,3396.360,3488.13,3496.170,3387.270,40483574008.000
2024-03-04,3491.320,3474.77,3503.620,3433.140,31525090228.000
2024-03-05,3381.880,3323.89,3401.930,3317.120,31034984992.000
2024-03-06,3320.580,3412.57,3454.290,3320.580,26792775742.000
2024-03-07,3428.320,3359.34,3449.740,3323.520,25175486834.000
2024-03-08,3360.960,3385.58,3427.770,3360.960,17285928352.000
2024-03-11,3407.110,3482.29,3485.810,3407.110,22955358731.000
2024-03-12,3525.980,3643.91,3657.400,3501.750,42769114679.000
2024-03-13,3650.750,3656.3,3704.060,3640.330,28371526268.000
2024-03-14,3668.560,3603.83,3692.290,3574.480,21672445072.000
2024-03-15,3534.140,3549.84,3550.190,3487.710,34989296360.000
2024-03-18,3535.490,3594.22,3609.800,3522.920,22941587344.000
2024-03-19,3554.150,3528.47,3571.230,3514.300,20463225385.000
2024-03-20,3538.650,3551.42,3569.970,3493.750,18790207007.000
2024-03-21,3609.640,3582.9,3647.010,3572.370,33036227333.000
2024-03-22,3527.300,3455.88,3531.710,3424.000,31395228502.000
2024-03-25,3469.300,3437.2,3486.440,3421.800,29751707521.000
2024-03-26,3468.620,3471.49,3499.150,3428.880,28599423408.000
2024-03-27,3437.610,3393.43,3443.880,3380.950,31576913696.000
2024-03-28,3403.950,3477.55,3543.210,3403.950,34975259346.000
2024-04-02,3558.920,3543.12,3577.390,3525.090,39285834273.000
2024-04-03,3543.750,3460.87,3543.750,3450.010,24719340743.000
2024-04-05,3464.550,3450.89,3476.470,3381.030,17342313300.000
2024-04-08,3427.680,3444.61,3492.470,3413.120,21397991272.000
2024-04-09,3461.420,3478.24,3510.580,3454.190,20256966646.000
