date,close
1953-02-28,25.86
1953-03-31,25.99
1953-04-30,24.71
1953-05-31,24.84
1953-06-30,23.95
1953-07-31,24.29
1953-08-31,24.39
1953-09-30,23.27
1953-10-31,23.97
1953-11-30,24.5
1953-12-31,24.83
1954-01-31,25.46
1954-02-28,26.02
1954-03-31,26.57
1954-04-30,27.63
1954-05-31,28.73
1954-06-30,28.96
1954-07-31,30.13
1954-08-31,30.73
1954-09-30,31.45
1954-10-31,32.18
1954-11-30,33.44
1954-12-31,34.97
1955-01-31,35.6
1955-02-28,36.79
1955-03-31,36.5
1955-04-30,37.76
1955-05-31,37.6
1955-06-30,39.78
1955-07-31,42.69
1955-08-31,42.43
1955-09-30,44.34
1955-10-31,42.11
1955-11-30,44.95
1955-12-31,45.37
1956-01-31,44.15
1956-02-29,44.43
1956-03-31,47.49
1956-04-30,48.05
1956-05-31,46.54
1956-06-30,46.27
1956-07-31,48.78
1956-08-31,48.49
1956-09-30,46.84
1956-10-31,46.24
1956-11-30,45.76
1956-12-31,46.44
1957-01-31,45.43
1957-02-28,43.47
1957-03-31,44.03
1957-04-30,45.05
1957-05-31,46.78
1957-06-30,47.55
1957-07-31,48.51
1957-08-31,45.84
1957-09-30,43.98
1957-10-31,41.24
1957-11-30,40.35
1957-12-31,40.33
1958-01-31,41.12
1958-02-28,41.26
1958-03-31,42.11
1958-04-30,42.34
1958-05-31,43.7
1958-06-30,44.75
1958-07-31,45.98
1958-08-31,47.7
1958-09-30,48.96
1958-10-31,50.95
1958-11-30,52.5
1958-12-31,53.49
1959-01-31,55.62
1959-02-28,54.77
1959-03-31,56.16
1959-04-30,57.1
1959-05-31,57.96
1959-06-30,57.46
1959-07-31,59.74
1959-08-31,59.4
1959-09-30,57.05
1959-10-31,57.0
1959-11-30,57.23
1959-12-31,59.06
1960-01-31,58.03
1960-02-29,55.78
1960-03-31,55.02
1960-04-30,55.73
1960-05-31,55.22
1960-06-30,57.26
1960-07-31,55.84
1960-08-31,56.51
1960-09-30,54.81
1960-10-31,53.73
1960-11-30,55.47
